序号,名称,今日涨跌幅,今日主力净流入-净额,今日主力净流入-净占比,今日超大单净流入-净额,今日超大单净流入-净占比,今日大单净流入-净额,今日大单净流入-净占比,今日中单净流入-净额,今日中单净流入-净占比,今日小单净流入-净额,今日小单净流入-净占比,今日主力净流入最大股
148,综合电商,-1.37,-18852335.0,-6.23,-10056354.0,-3.32,-8795981.0,-2.91,6242893.0,2.06,12609442.0,4.17,ST通葡
149,医美耗材,-1.5,-20134590.0,-5.03,-12651270.0,-3.16,-7483320.0,-1.87,-179990.0,-0.04,7124007.0,1.78,爱美客
150,模拟芯片设计,-2.48,-21404976.0,-0.19,-137060512.0,-1.23,115655536.0,1.03,60648640.0,0.54,-39243680.0,-0.35,臻镭科技
151,水产养殖,-1.75,-22008184.0,-5.84,1406939.0,0.37,-23415123.0,-6.22,-4084777.0,-1.08,26092961.0,6.93,好当家
152,冶钢辅料,-1.27,-23138442.0,-2.51,-21205925.0,-2.3,-1932517.0,-0.21,-10122129.0,-1.1,33260576.0,3.61,方大炭素
153,板材,-1.08,-23599136.0,-0.39,43866816.0,0.73,-67465952.0,-1.13,-52910064.0,-0.88,76509216.0,1.28,杭钢股份
154,医疗设备,-0.84,-24006464.0,-0.33,44036688.0,0.61,-68043152.0,-0.94,90762240.0,1.25,-73954640.0,-1.02,海泰新光
155,家纺,-1.29,-24533048.0,-6.01,-4569203.0,-1.12,-19963845.0,-4.89,15683806.0,3.84,7978041.0,1.95,罗莱生活
156,纺织化学制品,-1.25,-24587151.0,-1.53,-34817359.0,-2.17,10230208.0,0.64,-2102352.0,-0.13,26689488.0,1.67,雅运股份
157,瓷砖地板,-1.62,-24622968.0,-3.54,-8138768.0,-1.17,-16484200.0,-2.37,8912572.0,1.28,15710400.0,2.26,东鹏控股
158,线下药店,-0.2,-24637269.0,-3.18,-11170917.0,-1.44,-13466352.0,-1.74,-1582593.0,-0.2,26219856.0,3.38,漱玉平民
159,鞋帽及其他,-1.82,-25022432.0,-3.22,-14612958.0,-1.88,-10409474.0,-1.34,11221978.0,1.44,13800448.0,1.77,牧高笛
160,照明设备Ⅱ,-1.44,-25212448.0,-2.41,-2274820.0,-0.22,-22937628.0,-2.19,-4339280.0,-0.42,20546448.0,1.97,勤上股份
161,照明设备Ⅲ,-1.44,-25212448.0,-2.41,-2274820.0,-0.22,-22937628.0,-2.19,-4339280.0,-0.42,20546448.0,1.97,勤上股份
162,旅游零售Ⅲ,-1.54,-26320941.0,-1.57,-30102381.0,-1.79,3781440.0,0.23,38846336.0,2.31,-12525392.0,-0.75,中国中免
163,旅游零售Ⅱ,-1.54,-26320941.0,-1.57,-30102381.0,-1.79,3781440.0,0.23,38846336.0,2.31,-12525392.0,-0.75,中国中免
164,信托,-1.07,-27138410.0,-7.14,-22694066.0,-5.97,-4444344.0,-1.17,3776149.0,0.99,23362262.0,6.15,建元信托
165,仓储物流,-1.28,-27341315.0,-5.89,-34128242.0,-7.36,6786927.0,1.46,4898792.0,1.06,22442523.0,4.84,密尔克卫
166,管材,-2.32,-27415568.0,-7.75,-7966725.0,-2.25,-19448843.0,-5.5,6062139.0,1.71,21353429.0,6.04,东宏股份
167,血液制品,-0.96,-27647391.0,-5.62,-21204914.0,-4.31,-6442477.0,-1.31,12775942.0,2.6,14871450.0,3.02,博雅生物
168,涂料,-2.92,-27694268.0,-8.58,-17754387.0,-5.5,-9939881.0,-3.08,10753437.0,3.33,16940830.0,5.25,亚士创能
169,火电设备,-1.69,-27935989.0,-5.87,-6566914.0,-1.38,-21369075.0,-4.49,104265.0,0.02,27831724.0,5.85,ST华西
170,其他橡胶制品,-2.37,-28311563.0,-1.62,-27479147.0,-1.57,-832416.0,-0.05,14817248.0,0.85,-31154816.0,-1.78,元创股份
171,化妆品,-0.86,-29570180.0,-2.57,-41458667.0,-3.61,11888487.0,1.03,20347440.0,1.77,8621312.0,0.75,嘉亨家化
172,钴,-2.18,-29645762.0,-5.61,-17145327.0,-3.24,-12500435.0,-2.36,-2918000.0,-0.55,32563764.0,6.16,腾远钴业
173,清洁小家电,-1.1,-29921665.0,-3.66,-28399306.0,-3.47,-1522359.0,-0.19,14682608.0,1.79,15239056.0,1.86,开能健康
174,其他酒类,-1.18,-30105541.0,-5.19,-2387349.0,-0.41,-27718192.0,-4.78,16814854.0,2.9,13290687.0,2.29,中信尼雅
175,图片媒体,-2.57,-30193277.0,-7.01,-10199926.0,-2.37,-19993351.0,-4.64,26030359.0,6.05,4162918.0,0.97,视觉中国
176,特种纸,-1.46,-30529631.0,-2.83,-28351463.0,-2.63,-2178168.0,-0.2,-9150416.0,-0.85,18909952.0,1.75,齐峰新材
177,食用菌,-2.65,-30737208.0,-8.09,-4918131.0,-1.29,-25819077.0,-6.79,11979922.0,3.15,18757286.0,4.94,博闻科技
178,水泥制品,-1.26,-31662932.0,-5.08,-18768022.0,-3.01,-12894910.0,-2.07,-20431427.0,-3.28,52094352.0,8.35,垒知集团
179,机床工具,-0.69,-32398232.0,-1.63,-12020696.0,-0.61,-20377536.0,-1.03,14899344.0,0.75,14966224.0,0.75,乔锋智能
